LakeLag Roble 0.040
Roble Lagunita 0.048
Lagunita Terman 0.062
Terman Skilling 0.042
Skilling Math 0.056
Math Oval 0.037
Oval Palm 0.071
Quad Oval 0.042
MemChu Quad 0.024
Meyer Toyon 0.097
Toyon Kimball 0.037
Bowdoin Escondido 0.050
Escondido Serra 0.080
Bowdoin Wilbur 0.051
Oval History 0.034
History Hoover 0.043
GSB Oval 0.058
Gates Packard 0.031
Gates Math 0.059
Gates Clark 0.041
Clark MedSchool 0.056
Clark Cogen 0.045
Cogen Carnegie 0.063
Carnegie WCampus 0.085
WCampus FroSoCo 0.065
FroSoCo Lagunita 0.093
FroSoCo Packard 0.171
MemChu Meyer 0.074
Meyer OldUnion 0.060
Tresidder OldUnion 0.041
Tresidder FloMo 0.052
FloMo LakeLag 0.057
FloMo Mayfield 0.066
Mayfield Tresidder 0.062
Tresidder LawSchool 0.074
LawSchool Stern 0.053
Stern Wilbur 0.057
Stern Toyon 0.061
Meyer Stern 0.058
GSB Alumni 0.059
Hoover Alumni 0.094
Alumni Track 0.057
Track Stadium 0.062
Stadium Pool 0.071
Track Pool 0.059
Encina Pool 0.125
Encina Serra 0.113
Encina Hoover 0.064
Terman OldUnion 0.093
Roble Terman 0.054
FroSoCo Cogen 0.157
Skilling FroSoCo 0.182
Palm MedSchool 0.147
Gates Skilling 0.083
Terman MemChu 0.080
Quad Hoover 0.080
Quad History 0.043
Math Quad 0.037
Quad Skilling 0.054
Palm GSB 0.054
GolfCourse Elliot 0.102
RobleField Elliot 0.078
GolfCourse FroSoCo 0.110
FroSoCo Elliot 0.068
Elliot Lagunita 0.052
Lagunita RobleField 0.043
RobleField FroSoCo 0.085
RobleField Cogen 0.094
Encina Toyon 0.058
Meyer Encina 0.091
Meyer History 0.075
Tresidder Terman 0.088
Roble OldUnion 0.111
Skilling Packard 0.066
Kimball Escondido 0.036
Serra Track 0.162
Alumni Palm 0.094
MedSchool Carnegie 0.107
WCampus GolfCourse 0.172
Gates Palm 0.109
Math Palm 0.093
GSB Encina 0.106
Mayfield LawSchool 0.052
Mayfield Bowdoin 0.172
Meyer LawSchool 0.050
MemChu OldUnion 0.052
Skilling MemChu 0.050
